0	IV-II_1	1.0479614377624577E-4	8.9636284419516E-4	1.653015205987921E-4	8.894196404656924E-4	2.709452424550894E-4	5.311574403744577E-4	4.261399693858695E-4	5.403221208377982E-4	1.7966640626170794E-47	3.8764167599658514E-4	2.0752423363970798E-4	0.45462985535906925	2.668340911984969E-4	2.1599066680885146E-4	0.0011737422161476416	7.291746369887211E-4	3.7625645277486745E-4	2.776817092911663E-4	5.405797407997837E-4	3.256952304833761E-4	1.5861496509534181E-4	1.5697107065974392E-4	1.575834040288299E-4	3.311082688580376E-4	0.0041913676379290955	3.174543870414886E-4	5.2369113062729636E-5	6.050377197064699E-4	0.015489042346853448	5.512614580190179E-5	2.65504056170075E-4	4.3152910658368366E-4	4.179277759539511E-4	5.356588034197296E-5	3.1444411511778373E-4	1.0582933422361689E-4	5.390892405260998E-4	7.789735673814983E-4	5.404978286991411E-4	0.01753483212492799	0.45671216602426595	2.648940703129083E-4	8.168108327996102E-63	5.876330645703369E-4	1.5867817885475085E-4	2.134162615635068E-4	0.034081231954271984	0.0010575598781030298	7.414308206600188E-4	7.307007231470649E-4
1	IV-II_10	1.341376662385315E-4	0.0011473324846760743	2.1158374153676176E-4	0.02267588079728582	3.468062964125679E-4	6.798744389792287E-4	5.454534768610123E-4	6.916051077316892E-4	2.2997060358314594E-47	4.96176174821818E-4	0.12949024137569337	4.093918411754449E-4	3.415440776396103E-4	2.7646517258214984E-4	0.0015023743810254056	9.333338094465843E-4	4.816032409567447E-4	0.21572978409184437	0.0653042414201671	4.168855508208451E-4	2.0302503967916028E-4	0.021738356397501653	2.0170465527322374E-4	4.2381416774006127E-4	0.005364894671123901	4.0633738113349385E-4	6.703176620902186E-5	7.744402110920502E-4	0.1921252517737513	7.056073134122556E-5	3.398416505435433E-4	5.523515005926632E-4	0.0220723774995777	6.856361236369614E-5	4.024842732228507E-4	1.3546013623023476E-4	6.900270373771563E-4	9.970757761197547E-4	6.918300114505763E-4	9.069157155114646E-4	0.0030747217182888003	3.3906087678250155E-4	1.0455069711727911E-62	7.521624846650924E-4	2.0310595244804418E-4	2.7316996820611785E-4	5.486512766126625E-4	0.0013536625379950427	9.490215610700494E-4	0.3024593844702018
2	IV-II_100	1.8088804028896266E-4	0.0015472069146026724	2.853260343409582E-4	0.001535222289303558	4.6767707443475865E-4	9.168279004557773E-4	7.355578284978945E-4	9.326470043765074E-4	3.1012118350301023E-47	0.17493176986835632	3.582064242335653E-4	5.520752666803457E-4	4.6058083914079275E-4	3.728202873874782E-4	0.00202598990413898	0.001258624281012935	6.494541682167287E-4	4.793048523332594E-4	9.330916807585162E-4	5.621807239337951E-4	2.737844081158083E-4	2.7094689108338643E-4	2.7200383630242037E-4	5.715241393336221E-4	0.12340980549631426	5.479562499520618E-4	9.039403447720679E-5	0.001044352239260676	0.40430465450286734	9.515293333770478E-5	4.5828507308359317E-4	7.448599882094422E-4	7.213828071388516E-4	9.245976781455643E-5	5.427602363451252E-4	1.826714245675796E-4	9.305189365349068E-4	0.0013445819374937815	0.26232694588732836	0.0012229988122382232	0.0041463401120021	4.572321798918126E-4	1.4098926306619304E-62	0.0010143101609357103	2.7389352103396314E-4	3.683766208272438E-4	7.398701424551383E-4	0.0018254482173193608	0.0012797796114080709	0.0012612584498339209
3	IV-II_11	5.214833844071637E-5	0.025565197374643505	8.225684009285853E-5	0.033934792992528155	1.3482694776076928E-4	2.643129505327313E-4	2.1205447591753876E-4	2.688734509603399E-4	8.940505082102589E-48	1.9289707221248502E-4	1.0326757818112418E-4	0.10063576624683832	1.327811691721266E-4	1.0748061891316568E-4	5.840740329196915E-4	3.628496658547234E-4	1.8723159204885503E-4	1.3817912790598975E-4	2.6900164702254806E-4	0.29321884505383655	7.892949667322787E-5	7.811146692232972E-5	7.841617439169824E-5	1.6476509003800313E-4	0.05232399966331631	1.5797068688210822E-4	2.6059758817713247E-5	3.0107703050619443E-4	0.21703387700466467	2.7431705066818208E-5	1.321193211851602E-4	2.1473620198462682E-4	2.0796794919053738E-4	2.6655290512524544E-5	1.564727245199518E-4	5.266247152979515E-5	2.682599488081174E-4	3.876304581866725E-4	2.6896088617207414E-4	3.5257917478298057E-4	0.017941452610794207	1.318157818775355E-4	4.0645892316251995E-63	0.2514839363933606	7.896095291198805E-5	1.0619955120227325E-4	2.132976758955237E-4	5.262597311060642E-4	3.689485507091802E-4	3.6360907220888214E-4
4	IV-II_12	1.6639023730340618E-4	0.0014232014746080365	2.624577417445143E-4	0.001412177392284371	4.3019372243876554E-4	8.433460370266874E-4	6.766043871039202E-4	8.578972724267325E-4	2.8526561089084683E-47	6.154786629885718E-4	3.2949691884889246E-4	5.078275738160509E-4	4.236662357534237E-4	3.4293951104135946E-4	0.028579589495530223	0.001157748143321279	5.974017574331667E-4	4.408895579442647E-4	8.583063089147582E-4	5.171230995333664E-4	2.518411530336072E-4	2.492310571332761E-4	2.5020329037506937E-4	5.257176594783911E-4	0.08680278586594598	5.040386877748234E-4	8.314913923246512E-5	9.606495633505435E-4	0.5856282991283613	8.752662217404735E-5	4.215544706060965E-4	0.08083309649656616	6.635654644424539E-4	8.504930830753546E-5	4.992591239313055E-4	1.6803068701389123E-4	0.10771985376302556	0.0012368164710948838	8.58176252851884E-4	0.0011249779823200318	0.08396195501079716	4.2058596462993773E-4	1.29689264703962E-62	9.330152955814126E-4	2.519415207766357E-4	3.388519951819722E-4	6.805710780002689E-4	0.001679142311341528	0.001177207917660453	0.001160171188949508
5	IV-II_13	1.920433700264432E-4	0.0016426228596089375	3.029220345556573E-4	0.0016298991448333812	4.965186272961078E-4	9.733684960958652E-4	7.809195345828923E-4	9.901631610327096E-4	3.2924629567199247E-47	7.103697821174704E-4	3.8029694370641674E-4	5.861216393973514E-4	4.889847685723536E-4	3.958120409162677E-4	0.0021509323015986084	0.0013362433919716784	6.895058785689737E-4	5.088634879622959E-4	9.906352605194182E-4	5.968502982048126E-4	0.06196047123940055	2.8765613237182125E-4	2.88778259193873E-4	6.067699201879651E-4	0.03851575993896353	5.817486037205245E-4	9.596861673971336E-5	0.00110875723570167	0.36756824013579553	1.0102099595353583E-4	4.865474230755887E-4	7.907953566476131E-4	7.65870342454774E-4	9.816174344420341E-5	5.762321529801366E-4	1.93936735261484E-4	9.879038556673964E-4	0.0014275020401597332	9.904851531272326E-4	0.0012984209075700662	0.46692556359483317	4.854295981685112E-4	1.4968404308832886E-62	0.031911763768777204	2.907844804097879E-4	3.9109433431643953E-4	7.854977880906325E-4	0.001938023248539576	0.0013587033674162389	0.001339040009463872
6	IV-II_14	6.080317564429032E-5	0.48865458183003446	9.590865683661603E-5	5.16045120287864E-4	1.572036009469642E-4	3.0817984305621355E-4	2.4724825240654243E-4	3.134972302792213E-4	1.0424322559648676E-47	2.2491137615704944E-4	1.2040645746835265E-4	1.855729619006863E-4	1.5481829321571257E-4	1.2531871859280028E-4	6.810103078021895E-4	4.230702765442458E-4	2.1830562042640328E-4	1.6111212812646109E-4	3.1364670249483574E-4	1.88969780680777E-4	9.20290884280718E-5	9.107529377011429E-5	9.143057223792595E-5	1.9211044894588573E-4	0.2855498643975703	1.8418840769128956E-4	3.038478578646532E-5	3.510455005031607E-4	0.21400330278536006	3.1984428100164094E-5	1.5404660114258758E-4	2.5037505310552145E-4	2.4248350227669077E-4	3.1079155335411124E-5	1.8244183490799223E-4	6.140263720825436E-5	3.1278190779273127E-4	4.519638312349115E-4	3.1359917673994344E-4	4.110952358955736E-4	0.0013937386115095928	1.5369268471133958E-4	4.739171761979594E-63	3.409472443542501E-4	9.206576532454891E-5	1.2382503754050422E-4	2.4869778097988957E-4	6.136008130217897E-4	4.301813672928304E-4	4.2395571833046483E-4
7	IV-II_15	2.549290722871371E-4	0.0021805091300995763	4.0211559104577567E-4	0.043095585431359204	6.591064977273137E-4	0.0012921035892521436	0.0010366361122214616	0.0013143977634854614	4.370598823488685E-47	9.429844389373449E-4	5.048273576919692E-4	7.780505297236168E-4	6.491056337822342E-4	0.04145738943177958	0.002855267412373921	0.0017738039496924692	9.152885305851107E-4	6.754937537763613E-4	0.2878387897402287	7.922923493516244E-4	3.858497502441277E-4	3.818507816914322E-4	3.8334035537312077E-4	8.054602084100025E-4	0.051127966293874484	7.722455184492442E-4	1.2739409035972572E-4	0.0014718261476569462	0.28327073483250015	1.3410090010611386E-4	6.458701655322867E-4	0.001049745828827067	0.0010166589758727096	1.3030536897406587E-4	7.649226742949724E-4	2.574424308206975E-4	0.0013113986356284913	0.0018949457653019103	0.0013148251937369156	0.16545146215345496	0.005843518656352742	6.443863024522882E-4	1.9869894094985577E-62	0.08329342019464062	3.860035252253554E-4	5.191604157452408E-4	0.0010427135410817382	0.002572640069548191	0.0018036185728314263	0.0017775163356120078
8	IV-II_16	2.356387568949241E-4	0.0020155114369849836	3.7168776849181364E-4	0.001999899336799568	6.09232342127296E-4	0.0011943309596635881	9.581945387582905E-4	0.0012149381483816358	4.039878482330538E-47	0.07654097235013557	0.03830129886528544	7.191759573776982E-4	5.999882369856139E-4	4.856645520889871E-4	0.0026392112034070475	0.0016395813703431019	8.460292488897884E-4	6.243795852787837E-4	0.0012155174182422064	7.323401078724113E-4	3.566527531757341E-4	3.5295638394579516E-4	3.543332425657533E-4	7.445115636881249E-4	0.0850938181414126	7.138102074921242E-4	1.1775426324979436E-4	0.0013604540301652647	0.3753398388442239	1.2395357310955653E-4	5.969975944921915E-4	9.703122517224288E-4	9.397290591905533E-4	1.2044524732431846E-4	7.070414781433416E-4	2.3796193123971736E-4	0.0012121659625589482	0.03958622792640487	0.0012153332352668165	0.0015931728783142108	0.34591338659762305	5.956260143564459E-4	1.8366352264846955E-62	0.0013213188945326037	3.567948921051741E-4	4.798758882136062E-4	9.638120925700422E-4	0.0023779700859053194	0.001667139940539605	0.0016430128424594283
9	IV-II_17	5.01023691651683E-4	0.0042854536920456715	7.902960462254758E-4	0.0042522586770472656	0.0012953719547176674	0.0025394299068186867	0.002037348063855372	0.002583245660653626	8.589736500536789E-47	0.0018532901741168664	9.921601492069488E-4	0.0015291380665073842	0.0012757168022922657	0.16192354554172977	0.005611586810267898	0.0034861375172630673	0.0017988581467227778	0.0013275785737904716	0.00258447732529076	0.0015571281618772242	7.58328050056404E-4	7.504686954167191E-4	7.533962222707226E-4	0.0015830075537307615	0.4222659316240462	0.0015177292140266835	2.503733955252713E-4	0.08333810077606443	0.23494303328033683	2.635545935274986E-4	0.0012693579894967413	0.0020631131857040473	0.0019980860898785196	2.560950636963318E-4	0.0015033372956054266	5.059633094035193E-4	0.002577351338373498	0.0037242230330714267	0.00258408570875244	0.0033874620943118625	0.011484532788569903	0.001266441685947772	3.905120590163447E-62	0.002809436270634588	7.586302710156972E-4	0.0010203295596005176	0.002049292310998345	0.005056126448709921	0.0035447335511177656	0.003493433638029348
